source,variable,period,region,unit,value
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SVK,Mt CO2/yr,39.1823
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SVN,Mt CO2/yr,16.4115
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SWE,Mt CO2/yr,50.9333
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SWZ,Mt CO2/yr,1.9539
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SXM,Mt CO2/yr,1.4333
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SYC,Mt CO2/yr,1.8326
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SYR,Mt CO2/yr,61.5088
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,TCA,Mt CO2/yr,1.1935
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,TCD,Mt CO2/yr,1.8106
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,TGO,Mt CO2/yr,3.7532
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,THA,Mt CO2/yr,244.711
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,TJK,Mt CO2/yr,7.0126
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,TKL,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,TKM,Mt CO2/yr,54.9239
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,TLS,Mt CO2/yr,1.3873
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,TON,Mt CO2/yr,1.2402
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,TTO,Mt CO2/yr,40.2478
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,TUN,Mt CO2/yr,28.8185
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,TUR,Mt CO2/yr,297.0326
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,TUV,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,TWN,Mt CO2/yr,285.4368
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,TZA,Mt CO2/yr,8.2286
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,UGA,Mt CO2/yr,4.5722
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,UKR,Mt CO2/yr,320.7819
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,UMI,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,URY,Mt CO2/yr,7.4513
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,USA,Mt CO2/yr,5227.6638
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,UZB,Mt CO2/yr,122.709
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,VAT,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,VCT,Mt CO2/yr,1.2077
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,VEN,Mt CO2/yr,167.075
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,VGB,Mt CO2/yr,1.1878
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,VIR,Mt CO2/yr,1.5073
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,VNM,Mt CO2/yr,149.4682
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,VUT,Mt CO2/yr,1.2406
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,WLF,Mt CO2/yr,1.1599
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,WSM,Mt CO2/yr,1.3206
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,World,Mt CO2/yr,31228.5182
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,YEM,Mt CO2/yr,27.1633
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ZAF,Mt CO2/yr,459.1214
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ZMB,Mt CO2/yr,3.9415
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ZWE,Mt CO2/yr,10.5828
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,ABW,Mt CO2/yr,1.9109
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,AFG,Mt CO2/yr,12.5298
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,AGO,Mt CO2/yr,34.4867
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,AIA,Mt CO2/yr,1.3336
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,ALA,Mt CO2/yr,1.3336
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,ALB,Mt CO2/yr,6.1739
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,AND,Mt CO2/yr,1.3336
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,ARE,Mt CO2/yr,197.732
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,ARG,Mt CO2/yr,184.9288
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,ARM,Mt CO2/yr,4.5081
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,ASM,Mt CO2/yr,1.5133
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,ATA,Mt CO2/yr,1.3336
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,ATF,Mt CO2/yr,1.3336
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,ATG,Mt CO2/yr,1.4558
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,AUS,Mt CO2/yr,372.1409
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,AUT,Mt CO2/yr,69.3985
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,AZE,Mt CO2/yr,32.1169
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,BDI,Mt CO2/yr,1.5992
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,BEL,Mt CO2/yr,100.6239
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,BEN,Mt CO2/yr,6.7844
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,BES,Mt CO2/yr,1.3336
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,BFA,Mt CO2/yr,4.0581
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2015,BGD,Mt CO2/yr,74.0713
